exper,strain,daySurv,censored
1,5662,21,1
1,5662,22,1
1,5662,23,1
1,5662,23,1
1,5662,28,1
1,363,15,1
1,363,15,1
1,363,18,1
1,363,18,1
1,363,18,1
1,6574,16,1
1,6574,16,1
1,6574,16,1
1,6574,16,1
1,6574,16,1
1,5663,18,1
1,5663,18,1
1,5663,18,1
1,5663,20,1
1,5663,20,1
1,5913,17,1
1,5913,17,1
1,5913,18,1
1,5913,18,1
1,5913,18,1
1,2176,15,1
1,2176,15,1
1,2176,15,1
1,2176,15,1
1,2176,15,1
1,4373,16,1
1,4373,16,1
1,4373,17,1
1,4373,17,1
1,4535,16,1
1,4535,16,1
1,4535,17,1
1,4535,17,1
1,4535,17,1
1,6332,16,1
1,6332,16,1
1,6332,16,1
1,6332,17,1
1,6332,17,1
1,4922,27,1
1,4922,27,1
1,4922,29,1
1,4922,31,1
1,4922,34,1
1,6169,16,1
1,6169,16,1
1,6169,16,1
1,6169,23,1
1,6169,23,1
1,6704,16,1
1,6704,16,1
1,6704,16,1
1,6704,16,1
1,6704,17,1
1,6876,16,1
1,6876,16,1
1,6876,18,1
1,6876,18,1
1,6876,18,1
1,7837,16,1
1,7837,17,1
1,7837,17,1
1,7837,17,1
1,KN99,17,1
1,KN99,17,1
1,KN99,17,1
1,KN99,17,1
1,KN99,23,1
2,KN99,17,1
2,KN99,19,1
2,KN99,21,1
2,KN99,22,1
2,KN99,22,1
2,ITR4comp,19,1
2,ITR4comp,20,1
2,ITR4comp,20,1
2,ITR4comp,20,1
2,ITR4comp,20,1
2,5937,19,1
2,5937,19,1
2,5937,21,1
2,5937,21,1
2,5937,22,1
2,6490,18,1
2,6490,20,1
2,6490,20,1
2,6490,20,1
2,6490,21,1
2,6986,22,1
2,6986,23,1
2,6986,23,1
2,6986,23,1
2,6986,23,1
4,KN99,18,1
4,KN99,19,1
4,KN99,19,1
4,KN99,20,1
4,KN99,21,1
4,KN99,21,1
4,KN99,22,1
4,KN99,22,1
4,KN99,22,1
4,KN99,23,1
4,itr4D,20,1
4,itr4D,21,1
4,itr4D,21,1
4,itr4D,22,1
4,itr4D,22,1
4,itr4D,25,1
4,itr4D,26,1
4,itr4D,44,1
4,itr4D,44,1
4,itr4D,44,1
4,ITR4comp,19,1
4,ITR4comp,20,1
4,ITR4comp,20,1
4,ITR4comp,21,1
4,ITR4comp,21,1
4,ITR4comp,21,1
4,ITR4comp,21,1
4,ITR4comp,24,1
4,ITR4comp,25,1
3,KN99,19,1
3,KN99,19,1
3,KN99,22,1
3,KN99,22,1
3,KN99,22,1
3,7703,21,1
3,7703,21,1
3,7703,21,1
3,7703,21,1
3,7703,26,1