exper,days,strain,numSurv
1,0,5662,5
1,1,5662,5
1,2,5662,5
1,3,5662,5
1,4,5662,5
1,5,5662,5
1,6,5662,5
1,7,5662,5
1,8,5662,5
1,9,5662,5
1,10,5662,5
1,11,5662,5
1,12,5662,5
1,13,5662,5
1,14,5662,5
1,15,5662,5
1,16,5662,5
1,17,5662,5
1,18,5662,5
1,19,5662,5
1,20,5662,5
1,21,5662,5
1,22,5662,4
1,23,5662,3
1,24,5662,1
1,25,5662,1
1,26,5662,1
1,27,5662,1
1,28,5662,1
1,29,5662,0
1,30,5662,0
1,31,5662,0
1,32,5662,0
1,33,5662,0
1,34,5662,0
1,0,363,5
1,1,363,5
1,2,363,5
1,3,363,5
1,4,363,5
1,5,363,5
1,6,363,5
1,7,363,5
1,8,363,5
1,9,363,5
1,10,363,5
1,11,363,5
1,12,363,5
1,13,363,5
1,14,363,5
1,15,363,5
1,16,363,3
1,17,363,3
1,18,363,3
1,19,363,0
1,20,363,0
1,21,363,0
1,22,363,0
1,23,363,0
1,24,363,0
1,25,363,0
1,26,363,0
1,27,363,0
1,28,363,0
1,29,363,0
1,30,363,0
1,31,363,0
1,32,363,0
1,33,363,0
1,34,363,0
1,0,6574,5
1,1,6574,5
1,2,6574,5
1,3,6574,5
1,4,6574,5
1,5,6574,5
1,6,6574,5
1,7,6574,5
1,8,6574,5
1,9,6574,5
1,10,6574,5
1,11,6574,5
1,12,6574,5
1,13,6574,5
1,14,6574,5
1,15,6574,5
1,16,6574,5
1,17,6574,0
1,18,6574,0
1,19,6574,0
1,20,6574,0
1,21,6574,0
1,22,6574,0
1,23,6574,0
1,24,6574,0
1,25,6574,0
1,26,6574,0
1,27,6574,0
1,28,6574,0
1,29,6574,0
1,30,6574,0
1,31,6574,0
1,32,6574,0
1,33,6574,0
1,34,6574,0
1,0,5663,5
1,1,5663,5
1,2,5663,5
1,3,5663,5
1,4,5663,5
1,5,5663,5
1,6,5663,5
1,7,5663,5
1,8,5663,5
1,9,5663,5
1,10,5663,5
1,11,5663,5
1,12,5663,5
1,13,5663,5
1,14,5663,5
1,15,5663,5
1,16,5663,5
1,17,5663,5
1,18,5663,5
1,19,5663,2
1,20,5663,2
1,21,5663,0
1,22,5663,0
1,23,5663,0
1,24,5663,0
1,25,5663,0
1,26,5663,0
1,27,5663,0
1,28,5663,0
1,29,5663,0
1,30,5663,0
1,31,5663,0
1,32,5663,0
1,33,5663,0
1,34,5663,0
1,0,5913,5
1,1,5913,5
1,2,5913,5
1,3,5913,5
1,4,5913,5
1,5,5913,5
1,6,5913,5
1,7,5913,5
1,8,5913,5
1,9,5913,5
1,10,5913,5
1,11,5913,5
1,12,5913,5
1,13,5913,5
1,14,5913,5
1,15,5913,5
1,16,5913,5
1,17,5913,5
1,18,5913,3
1,19,5913,0
1,20,5913,0
1,21,5913,0
1,22,5913,0
1,23,5913,0
1,24,5913,0
1,25,5913,0
1,26,5913,0
1,27,5913,0
1,28,5913,0
1,29,5913,0
1,30,5913,0
1,31,5913,0
1,32,5913,0
1,33,5913,0
1,34,5913,0
1,0,2176,5
1,1,2176,5
1,2,2176,5
1,3,2176,5
1,4,2176,5
1,5,2176,5
1,6,2176,5
1,7,2176,5
1,8,2176,5
1,9,2176,5
1,10,2176,5
1,11,2176,5
1,12,2176,5
1,13,2176,5
1,14,2176,5
1,15,2176,5
1,16,2176,0
1,17,2176,0
1,18,2176,0
1,19,2176,0
1,20,2176,0
1,21,2176,0
1,22,2176,0
1,23,2176,0
1,24,2176,0
1,25,2176,0
1,26,2176,0
1,27,2176,0
1,28,2176,0
1,29,2176,0
1,30,2176,0
1,31,2176,0
1,32,2176,0
1,33,2176,0
1,34,2176,0
1,0,4373,4
1,1,4373,4
1,2,4373,4
1,3,4373,4
1,4,4373,4
1,5,4373,4
1,6,4373,4
1,7,4373,4
1,8,4373,4
1,9,4373,4
1,10,4373,4
1,11,4373,4
1,12,4373,4
1,13,4373,4
1,14,4373,4
1,15,4373,4
1,16,4373,4
1,17,4373,2
1,18,4373,0
1,19,4373,0
1,20,4373,0
1,21,4373,0
1,22,4373,0
1,23,4373,0
1,24,4373,0
1,25,4373,0
1,26,4373,0
1,27,4373,0
1,28,4373,0
1,29,4373,0
1,30,4373,0
1,31,4373,0
1,32,4373,0
1,33,4373,0
1,34,4373,0
1,0,4535,5
1,1,4535,5
1,2,4535,5
1,3,4535,5
1,4,4535,5
1,5,4535,5
1,6,4535,5
1,7,4535,5
1,8,4535,5
1,9,4535,5
1,10,4535,5
1,11,4535,5
1,12,4535,5
1,13,4535,5
1,14,4535,5
1,15,4535,5
1,16,4535,5
1,17,4535,3
1,18,4535,0
1,19,4535,0
1,20,4535,0
1,21,4535,0
1,22,4535,0
1,23,4535,0
1,24,4535,0
1,25,4535,0
1,26,4535,0
1,27,4535,0
1,28,4535,0
1,29,4535,0
1,30,4535,0
1,31,4535,0
1,32,4535,0
1,33,4535,0
1,34,4535,0
1,0,6332,5
1,1,6332,5
1,2,6332,5
1,3,6332,5
1,4,6332,5
1,5,6332,5
1,6,6332,5
1,7,6332,5
1,8,6332,5
1,9,6332,5
1,10,6332,5
1,11,6332,5
1,12,6332,5
1,13,6332,5
1,14,6332,5
1,15,6332,5
1,16,6332,5
1,17,6332,2
1,18,6332,0
1,19,6332,0
1,20,6332,0
1,21,6332,0
1,22,6332,0
1,23,6332,0
1,24,6332,0
1,25,6332,0
1,26,6332,0
1,27,6332,0
1,28,6332,0
1,29,6332,0
1,30,6332,0
1,31,6332,0
1,32,6332,0
1,33,6332,0
1,34,6332,0
1,0,4922,5
1,1,4922,5
1,2,4922,5
1,3,4922,5
1,4,4922,5
1,5,4922,5
1,6,4922,5
1,7,4922,5
1,8,4922,5
1,9,4922,5
1,10,4922,5
1,11,4922,5
1,12,4922,5
1,13,4922,5
1,14,4922,5
1,15,4922,5
1,16,4922,5
1,17,4922,5
1,18,4922,5
1,19,4922,5
1,20,4922,5
1,21,4922,5
1,22,4922,5
1,23,4922,5
1,24,4922,5
1,25,4922,5
1,26,4922,5
1,27,4922,5
1,28,4922,3
1,29,4922,3
1,30,4922,2
1,31,4922,2
1,32,4922,2
1,33,4922,1
1,34,4922,1
1,0,6169,5
1,1,6169,5
1,2,6169,5
1,3,6169,5
1,4,6169,5
1,5,6169,5
1,6,6169,5
1,7,6169,5
1,8,6169,5
1,9,6169,5
1,10,6169,5
1,11,6169,5
1,12,6169,5
1,13,6169,5
1,14,6169,5
1,15,6169,5
1,16,6169,5
1,17,6169,2
1,18,6169,2
1,19,6169,2
1,20,6169,2
1,21,6169,2
1,22,6169,2
1,23,6169,2
1,24,6169,0
1,25,6169,0
1,26,6169,0
1,27,6169,0
1,28,6169,0
1,29,6169,0
1,30,6169,0
1,31,6169,0
1,32,6169,0
1,33,6169,0
1,34,6169,0
1,0,6704,5
1,1,6704,5
1,2,6704,5
1,3,6704,5
1,4,6704,5
1,5,6704,5
1,6,6704,5
1,7,6704,5
1,8,6704,5
1,9,6704,5
1,10,6704,5
1,11,6704,5
1,12,6704,5
1,13,6704,5
1,14,6704,5
1,15,6704,5
1,16,6704,5
1,17,6704,1
1,18,6704,0
1,19,6704,0
1,20,6704,0
1,21,6704,0
1,22,6704,0
1,23,6704,0
1,24,6704,0
1,25,6704,0
1,26,6704,0
1,27,6704,0
1,28,6704,0
1,29,6704,0
1,30,6704,0
1,31,6704,0
1,32,6704,0
1,33,6704,0
1,34,6704,0
1,0,6876,5
1,1,6876,5
1,2,6876,5
1,3,6876,5
1,4,6876,5
1,5,6876,5
1,6,6876,5
1,7,6876,5
1,8,6876,5
1,9,6876,5
1,10,6876,5
1,11,6876,5
1,12,6876,5
1,13,6876,5
1,14,6876,5
1,15,6876,5
1,16,6876,5
1,17,6876,3
1,18,6876,3
1,19,6876,0
1,20,6876,0
1,21,6876,0
1,22,6876,0
1,23,6876,0
1,24,6876,0
1,25,6876,0
1,26,6876,0
1,27,6876,0
1,28,6876,0
1,29,6876,0
1,30,6876,0
1,31,6876,0
1,32,6876,0
1,33,6876,0
1,34,6876,0
1,0,7837,4
1,1,7837,4
1,2,7837,4
1,3,7837,4
1,4,7837,4
1,5,7837,4
1,6,7837,4
1,7,7837,4
1,8,7837,4
1,9,7837,4
1,10,7837,4
1,11,7837,4
1,12,7837,4
1,13,7837,4
1,14,7837,4
1,15,7837,4
1,16,7837,4
1,17,7837,3
1,18,7837,0
1,19,7837,0
1,20,7837,0
1,21,7837,0
1,22,7837,0
1,23,7837,0
1,24,7837,0
1,25,7837,0
1,26,7837,0
1,27,7837,0
1,28,7837,0
1,29,7837,0
1,30,7837,0
1,31,7837,0
1,32,7837,0
1,33,7837,0
1,34,7837,0
1,0,KN99,5
1,1,KN99,5
1,2,KN99,5
1,3,KN99,5
1,4,KN99,5
1,5,KN99,5
1,6,KN99,5
1,7,KN99,5
1,8,KN99,5
1,9,KN99,5
1,10,KN99,5
1,11,KN99,5
1,12,KN99,5
1,13,KN99,5
1,14,KN99,5
1,15,KN99,5
1,16,KN99,5
1,17,KN99,5
1,18,KN99,1
1,19,KN99,1
1,20,KN99,1
1,21,KN99,1
1,22,KN99,1
1,23,KN99,1
1,24,KN99,0
1,25,KN99,0
1,26,KN99,0
1,27,KN99,0
1,28,KN99,0
1,29,KN99,0
1,30,KN99,0
1,31,KN99,0
1,32,KN99,0
1,33,KN99,0
1,34,KN99,0
2,1,KN99,5
2,2,KN99,5
2,3,KN99,5
2,4,KN99,5
2,5,KN99,5
2,6,KN99,5
2,7,KN99,5
2,8,KN99,5
2,9,KN99,5
2,10,KN99,5
2,11,KN99,5
2,12,KN99,5
2,13,KN99,5
2,14,KN99,5
2,15,KN99,5
2,16,KN99,5
2,17,KN99,5
2,18,KN99,4
2,19,KN99,4
2,20,KN99,3
2,21,KN99,3
2,22,KN99,2
2,23,KN99,0
2,24,KN99,0
2,1,ITR4comp,5
2,2,ITR4comp,5
2,3,ITR4comp,5
2,4,ITR4comp,5
2,5,ITR4comp,5
2,6,ITR4comp,5
2,7,ITR4comp,5
2,8,ITR4comp,5
2,9,ITR4comp,5
2,10,ITR4comp,5
2,11,ITR4comp,5
2,12,ITR4comp,5
2,13,ITR4comp,5
2,14,ITR4comp,5
2,15,ITR4comp,5
2,16,ITR4comp,5
2,17,ITR4comp,5
2,18,ITR4comp,5
2,19,ITR4comp,5
2,20,ITR4comp,4
2,21,ITR4comp,0
2,22,ITR4comp,0
2,23,ITR4comp,0
2,24,ITR4comp,0
2,1,5937,5
2,2,5937,5
2,3,5937,5
2,4,5937,5
2,5,5937,5
2,6,5937,5
2,7,5937,5
2,8,5937,5
2,9,5937,5
2,10,5937,5
2,11,5937,5
2,12,5937,5
2,13,5937,5
2,14,5937,5
2,15,5937,5
2,16,5937,5
2,17,5937,5
2,18,5937,5
2,19,5937,5
2,20,5937,3
2,21,5937,3
2,22,5937,1
2,23,5937,0
2,24,5937,0
2,1,6490,5
2,2,6490,5
2,3,6490,5
2,4,6490,5
2,5,6490,5
2,6,6490,5
2,7,6490,5
2,8,6490,5
2,9,6490,5
2,10,6490,5
2,11,6490,5
2,12,6490,5
2,13,6490,5
2,14,6490,5
2,15,6490,5
2,16,6490,5
2,17,6490,5
2,18,6490,5
2,19,6490,4
2,20,6490,4
2,21,6490,1
2,22,6490,1
2,23,6490,0
2,24,6490,0
2,1,6986,5
2,2,6986,5
2,3,6986,5
2,4,6986,5
2,5,6986,5
2,6,6986,5
2,7,6986,5
2,8,6986,5
2,9,6986,5
2,10,6986,5
2,11,6986,5
2,12,6986,5
2,13,6986,5
2,14,6986,5
2,15,6986,5
2,16,6986,5
2,17,6986,5
2,18,6986,5
2,19,6986,4
2,20,6986,4
2,21,6986,4
2,22,6986,4
2,23,6986,0
2,24,6986,0
ITR,1,KN99,10
ITR,2,KN99,10
ITR,3,KN99,10
ITR,4,KN99,10
ITR,5,KN99,10
ITR,6,KN99,10
ITR,7,KN99,10
ITR,8,KN99,10
ITR,9,KN99,10
ITR,10,KN99,10
ITR,11,KN99,10
ITR,12,KN99,10
ITR,13,KN99,10
ITR,14,KN99,10
ITR,15,KN99,10
ITR,16,KN99,10
ITR,17,KN99,10
ITR,18,KN99,10
ITR,19,KN99,9
ITR,20,KN99,7
ITR,21,KN99,6
ITR,22,KN99,4
ITR,23,KN99,1
ITR,24,KN99,0
ITR,25,KN99,0
ITR,26,KN99,0
ITR,27,KN99,0
ITR,28,KN99,0
ITR,29,KN99,0
ITR,30,KN99,0
ITR,31,KN99,0
ITR,32,KN99,0
ITR,33,KN99,0
ITR,34,KN99,0
ITR,35,KN99,0
ITR,36,KN99,0
ITR,37,KN99,0
ITR,38,KN99,0
ITR,39,KN99,0
ITR,40,KN99,0
ITR,41,KN99,0
ITR,42,KN99,0
ITR,43,KN99,0
ITR,44,KN99,0
ITR,1,itr4D,10
ITR,2,itr4D,10
ITR,3,itr4D,10
ITR,4,itr4D,10
ITR,5,itr4D,10
ITR,6,itr4D,10
ITR,7,itr4D,10
ITR,8,itr4D,10
ITR,9,itr4D,10
ITR,10,itr4D,10
ITR,11,itr4D,10
ITR,12,itr4D,10
ITR,13,itr4D,10
ITR,14,itr4D,10
ITR,15,itr4D,10
ITR,16,itr4D,10
ITR,17,itr4D,10
ITR,18,itr4D,10
ITR,19,itr4D,10
ITR,20,itr4D,10
ITR,21,itr4D,9
ITR,22,itr4D,7
ITR,23,itr4D,5
ITR,24,itr4D,5
ITR,25,itr4D,5
ITR,26,itr4D,4
ITR,27,itr4D,3
ITR,28,itr4D,3
ITR,29,itr4D,3
ITR,30,itr4D,3
ITR,31,itr4D,3
ITR,32,itr4D,3
ITR,33,itr4D,3
ITR,34,itr4D,3
ITR,35,itr4D,3
ITR,36,itr4D,3
ITR,37,itr4D,3
ITR,38,itr4D,3
ITR,39,itr4D,3
ITR,40,itr4D,3
ITR,41,itr4D,3
ITR,42,itr4D,3
ITR,43,itr4D,3
ITR,44,itr4D,3
ITR,1,ITR4comp,10
ITR,2,ITR4comp,10
ITR,3,ITR4comp,10
ITR,4,ITR4comp,10
ITR,5,ITR4comp,10
ITR,6,ITR4comp,10
ITR,7,ITR4comp,10
ITR,8,ITR4comp,10
ITR,9,ITR4comp,10
ITR,10,ITR4comp,10
ITR,11,ITR4comp,10
ITR,12,ITR4comp,10
ITR,13,ITR4comp,10
ITR,14,ITR4comp,10
ITR,15,ITR4comp,10
ITR,16,ITR4comp,10
ITR,17,ITR4comp,10
ITR,18,ITR4comp,10
ITR,19,ITR4comp,10
ITR,20,ITR4comp,9
ITR,21,ITR4comp,7
ITR,22,ITR4comp,3
ITR,23,ITR4comp,2
ITR,24,ITR4comp,2
ITR,25,ITR4comp,1
ITR,26,ITR4comp,0
ITR,27,ITR4comp,0
ITR,28,ITR4comp,0
ITR,29,ITR4comp,0
ITR,30,ITR4comp,0
ITR,31,ITR4comp,0
ITR,32,ITR4comp,0
ITR,33,ITR4comp,0
ITR,34,ITR4comp,0
ITR,35,ITR4comp,0
ITR,36,ITR4comp,0
ITR,37,ITR4comp,0
ITR,38,ITR4comp,0
ITR,39,ITR4comp,0
ITR,40,ITR4comp,0
ITR,41,ITR4comp,0
ITR,42,ITR4comp,0
ITR,43,ITR4comp,0
ITR,44,ITR4comp,0
3,1,KN99,5
3,2,KN99,5
3,3,KN99,5
3,4,KN99,5
3,5,KN99,5
3,6,KN99,5
3,7,KN99,5
3,8,KN99,5
3,9,KN99,5
3,10,KN99,5
3,11,KN99,5
3,12,KN99,5
3,13,KN99,5
3,14,KN99,5
3,15,KN99,5
3,16,KN99,5
3,17,KN99,5
3,18,KN99,5
3,19,KN99,5
3,20,KN99,3
3,21,KN99,3
3,22,KN99,3
3,23,KN99,0
3,24,KN99,0
3,25,KN99,0
3,26,KN99,0
3,27,KN99,0
3,1,7703,5
3,2,7703,5
3,3,7703,5
3,4,7703,5
3,5,7703,5
3,6,7703,5
3,7,7703,5
3,8,7703,5
3,9,7703,5
3,10,7703,5
3,11,7703,5
3,12,7703,5
3,13,7703,5
3,14,7703,5
3,15,7703,5
3,16,7703,5
3,17,7703,5
3,18,7703,5
3,19,7703,5
3,20,7703,5
3,21,7703,5
3,22,7703,1
3,23,7703,1
3,24,7703,1
3,25,7703,1
3,26,7703,1
3,27,7703,0