"gene","chr","pos","class","effect","pheno","logistic regression"
"CNAG_00014",1,47564,"b","ns","GCSF","est = -1.53, error = 0.76, z = -2, p = 0.045"
"CNAG_00014",1,47575,"b","ns","GCSF","est = -1.62, error = 0.78, z = -2.08, p = 0.038"
"CNAG_00014",1,47671,"b","ns","GMCSF","est = 1.15, error = 0.49, z = 2.35, p = 0.019"
"CNAG_00363",1,927896,"b","ns","IL2","est = 0.57, error = 0.27, z = 2.09, p = 0.036"
"CNAG_00363",1,927901,"b","ns","IL2","est = 0.57, error = 0.27, z = 2.09, p = 0.036"
"CNAG_07950",1,975397,"b","upstream","efa","est = -31.27, error = 13.51, z = -2.32, p = 0.021"
"CNAG_07950",1,975152,"ab","upstream","IL8","est = 0.98, error = 0.44, z = 2.23, p = 0.026"
"CNAG_07950",1,975152,"ab","upstream","hivrna","est = 0, error = 0, z = 1.98, p = 0.048"
"CNAG_07950",1,975212,"ab","upstream","IL4","est = -0.79, error = 0.36, z = -2.21, p = 0.027"
"CNAG_07950",1,975212,"ab","upstream","IL6","est = -0.43, error = 0.17, z = -2.48, p = 0.013"
"CNAG_07950",1,975212,"ab","upstream","IL8","est = -1.13, error = 0.43, z = -2.62, p = 0.009"
"CNAG_07950",1,975212,"ab","upstream","GMCSF","est = -0.92, error = 0.42, z = -2.17, p = 0.03"
"CNAG_07950",1,975212,"ab","upstream","IFNg","est = -0.67, error = 0.31, z = -2.18, p = 0.029"
"CNAG_07950",1,975212,"ab","upstream","FLC","est = -0.06, error = 0.03, z = -2.11, p = 0.034"
"CNAG_07837",10,13558,"b","UTR-5","IL2","est = 0.4, error = 0.19, z = 2.06, p = 0.039"
"CNAG_07837",10,15288,"b","UTR-3","csf_wbc","est = 0.01, error = 0.01, z = 2.01, p = 0.044"
"CNAG_07837",10,15302,"b","UTR-3","cd4","est = -0.19, error = 0.1, z = -1.96, p = 0.049"
"CNAG_04922",10,18908,"b","upstream","IL2","est = -0.49, error = 0.22, z = -2.2, p = 0.028"
"CNAG_04922",10,18915,"b","upstream","IL2","est = -0.49, error = 0.22, z = -2.2, p = 0.028"
"CNAG_04922",10,18933,"b","upstream","IL2","est = -0.46, error = 0.22, z = -2.11, p = 0.035"
"CNAG_04922",10,18941,"b","upstream","IL2","est = -0.46, error = 0.22, z = -2.09, p = 0.036"
"CNAG_01802",11,966644,"b","upstream","csf_wbc","est = 0.01, error = 0.01, z = 2.37, p = 0.018"
"CNAG_01802",11,966669,"b","upstream","IL2","est = 0.43, error = 0.22, z = 1.96, p = 0.05"
"CNAG_01802",11,966700,"b","upstream","IL7","est = -1.04, error = 0.52, z = -2, p = 0.045"
"CNAG_05987",12,14009,"b","ns","IL2","est = -0.55, error = 0.23, z = -2.34, p = 0.019"
"CNAG_05987",12,14035,"b","ns","IL2","est = 0.43, error = 0.2, z = 2.13, p = 0.034"
"CNAG_05987",12,14125,"b","CODON_CHANGE_PLUS_CODON_DELETION","chitin","est = 0, error = 0, z = 2.14, p = 0.033"
"CNAG_05987",12,15014,"b","UTR-5","adherence","est = 5.03, error = 2.33, z = 2.16, p = 0.031"
"CNAG_05987",12,14197,"ab","ns","efa","est = 34.56, error = 17.31, z = 2, p = 0.046"
"CNAG_05987",12,14197,"ab","ns","adherence","est = 5.38, error = 2.7, z = 1.99, p = 0.046"
"CNAG_05987",12,14202,"ab","frameshift","efa","est = 34.56, error = 17.31, z = 2, p = 0.046"
"CNAG_05987",12,14202,"ab","frameshift","adherence","est = 5.38, error = 2.7, z = 1.99, p = 0.046"
"CNAG_06169",12,502808,"b","UTR-3","IL8","est = -0.7, error = 0.34, z = -2.09, p = 0.037"
"CNAG_06169",12,503311,"b","UTR-3","GCSF","est = -1.92, error = 0.86, z = -2.23, p = 0.025"
"CNAG_06169",12,502888,"ab","UTR-3","GMCSF","est = -0.84, error = 0.42, z = -2, p = 0.046"
"CNAG_06169",12,502888,"ab","UTR-3","growth","est = 13.36, error = 6.58, z = 2.03, p = 0.042"
"CNAG_06169",12,502890,"ab","UTR-3","IL6","est = -0.37, error = 0.18, z = -2.09, p = 0.037"
"CNAG_06169",12,502890,"ab","UTR-3","IL8","est = -0.65, error = 0.33, z = -1.97, p = 0.049"
"CNAG_06169",12,502890,"ab","UTR-3","GMCSF","est = -1.03, error = 0.47, z = -2.17, p = 0.03"
"CNAG_06169",12,503049,"ab","UTR-3","GMCSF","est = 0.99, error = 0.48, z = 2.08, p = 0.037"
"CNAG_06169",12,503049,"ab","UTR-3","hivrna","est = 0, error = 0, z = 2.19, p = 0.028"
"CNAG_06169",12,503112,"ab","UTR-3","hivrna","est = 0, error = 0, z = -2.16, p = 0.031"
"CNAG_06169",12,503112,"ab","UTR-3","csf_wbc","est = 0.02, error = 0.01, z = 2.2, p = 0.028"
"CNAG_06169",12,503313,"ab","UTR-3","IL12","est = 0.58, error = 0.28, z = 2.03, p = 0.042"
"CNAG_06169",12,503313,"ab","UTR-3","IL13","est = 0.28, error = 0.14, z = 2.04, p = 0.041"
"CNAG_06169",12,503313,"ab","UTR-3","GCSF","est = -1.97, error = 0.87, z = -2.26, p = 0.024"
"CNAG_06169",12,503321,"ab","UTR-3","IL12","est = 0.89, error = 0.35, z = 2.52, p = 0.012"
"CNAG_06169",12,503321,"ab","UTR-3","IL13","est = 0.31, error = 0.14, z = 2.23, p = 0.026"
"CNAG_06169",12,503321,"ab","UTR-3","GCSF","est = -1.92, error = 0.89, z = -2.15, p = 0.031"
"CNAG_06169",12,503321,"ab","UTR-3","MIP1b","est = 0.82, error = 0.4, z = 2.04, p = 0.041"
"CNAG_06169",12,503327,"ab","UTR-3","IL12","est = 0.81, error = 0.34, z = 2.38, p = 0.017"
"CNAG_06169",12,503327,"ab","UTR-3","IL13","est = 0.27, error = 0.13, z = 2.01, p = 0.044"
"CNAG_06169",12,503327,"ab","UTR-3","MIP1b","est = 0.77, error = 0.39, z = 1.97, p = 0.049"
"CNAG_06169",12,503401,"ab","UTR-3","IL10","est = 1.05, error = 0.46, z = 2.26, p = 0.024"
"CNAG_06169",12,503401,"ab","UTR-3","chitin","est = 0, error = 0, z = 2.02, p = 0.044"
"CNAG_06256",13,11130,"b","upstream","TNFa","est = -0.87, error = 0.35, z = -2.45, p = 0.014"
"CNAG_06256",13,11108,"ab","upstream","IL12","est = -1.5, error = 0.75, z = -2.01, p = 0.044"
"CNAG_06256",13,11108,"ab","upstream","IFNg","est = -0.84, error = 0.38, z = -2.22, p = 0.026"
"CNAG_06256",13,11108,"ab","upstream","MCP1","est = -1.43, error = 0.67, z = -2.13, p = 0.033"
"CNAG_06256",13,11108,"ab","upstream","MIP1b","est = -1.15, error = 0.53, z = -2.17, p = 0.03"
"CNAG_06256",13,11108,"ab","upstream","TNFa","est = -1.07, error = 0.51, z = -2.09, p = 0.036"
"CNAG_06256",13,11118,"ab","upstream","IFNg","est = -0.51, error = 0.24, z = -2.1, p = 0.036"
"CNAG_06256",13,11118,"ab","upstream","TNFa","est = -0.8, error = 0.36, z = -2.21, p = 0.027"
"CNAG_06332",13,219021,"b","upstream","adherence","est = 7.45, error = 3.38, z = 2.2, p = 0.027"
"CNAG_06332",13,219311,"b","upstream","efa","est = 66.96, error = 26.13, z = 2.56, p = 0.01"
"CNAG_06332",13,219312,"b","upstream","efa","est = 81.06, error = 32.58, z = 2.49, p = 0.013"
"CNAG_06422",13,436551,"b","UTR-5","IL2","est = 0.4, error = 0.19, z = 2.06, p = 0.039"
"CNAG_06422",13,436554,"b","UTR-5","IL2","est = 0.4, error = 0.19, z = 2.06, p = 0.039"
"CNAG_05661",14,909638,"b","upstream","adherence","est = 4.47, error = 1.99, z = 2.24, p = 0.025"
"CNAG_05661",14,910152,"b","upstream","uptake","est = -3.29, error = 1.51, z = -2.17, p = 0.03"
"CNAG_05661",14,908850,"ab","upstream","IL8","est = -0.62, error = 0.3, z = -2.06, p = 0.039"
"CNAG_05661",14,908850,"ab","upstream","GMCSF","est = -0.95, error = 0.42, z = -2.25, p = 0.024"
"CNAG_05661",14,908850,"ab","upstream","IFNg","est = -0.5, error = 0.24, z = -2.05, p = 0.041"
"CNAG_05661",14,908850,"ab","upstream","MCP1","est = -0.44, error = 0.2, z = -2.2, p = 0.028"
"CNAG_05661",14,908994,"ab","upstream","MIP1b","est = 1.28, error = 0.65, z = 1.96, p = 0.05"
"CNAG_05661",14,908994,"ab","upstream","uptake","est = 4.5, error = 2.26, z = 1.99, p = 0.046"
"CNAG_05661",14,908994,"ab","upstream","FLC","est = 0.05, error = 0.02, z = 2.21, p = 0.027"
"CNAG_05661",14,909011,"ab","upstream","IL1b","est = 1.02, error = 0.49, z = 2.08, p = 0.038"
"CNAG_05661",14,909011,"ab","upstream","IL8","est = 0.89, error = 0.43, z = 2.07, p = 0.038"
"CNAG_05661",14,909011,"ab","upstream","MIP1b","est = 1.62, error = 0.75, z = 2.16, p = 0.031"
"CNAG_05661",14,909011,"ab","upstream","uptake","est = 5.05, error = 2.3, z = 2.19, p = 0.028"
"CNAG_05661",14,909011,"ab","upstream","FLC","est = 0.05, error = 0.02, z = 2.01, p = 0.045"
"CNAG_05661",14,910181,"ab","upstream","IL1b","est = -0.86, error = 0.42, z = -2.05, p = 0.04"
"CNAG_05661",14,910181,"ab","upstream","IL6","est = -0.32, error = 0.15, z = -2.05, p = 0.04"
"CNAG_05661",14,910181,"ab","upstream","IFNg","est = -0.72, error = 0.33, z = -2.19, p = 0.028"
"CNAG_05661",14,910181,"ab","upstream","hivrna","est = 0, error = 0, z = 2.16, p = 0.031"
"CNAG_05663",14,910323,"b","downstream","TNFa","est = -0.69, error = 0.31, z = -2.22, p = 0.026"
"CNAG_05663",14,910555,"b","downstream","Survival","est = 0, error = 0, z = -2.06, p = 0.039"
"CNAG_05663",14,910328,"ab","downstream","IL1b","est = -0.84, error = 0.41, z = -2.04, p = 0.041"
"CNAG_05663",14,910328,"ab","downstream","IL13","est = -0.28, error = 0.14, z = -2, p = 0.045"
"CNAG_05663",14,910328,"ab","downstream","TNFa","est = -0.8, error = 0.33, z = -2.42, p = 0.015"
"CNAG_05662",14,910742,"b","UTR-3","AMP","est = 2.56, error = 1.3, z = 1.96, p = 0.05"
"CNAG_05662",14,910834,"b","downstream","Survival","est = -0.01, error = 0, z = -2.12, p = 0.034"
"CNAG_05662",14,910926,"b","downstream","SERT","est = -0.36, error = 0.18, z = -1.99, p = 0.046"
"CNAG_05662",14,910966,"b","downstream","Survival","est = -0.01, error = 0, z = -2.77, p = 0.006"
"CNAG_05662",14,911262,"b","downstream","MCP1","est = 0.49, error = 0.24, z = 2.06, p = 0.039"
"CNAG_05662",14,911292,"b","downstream","IL2","est = 0.51, error = 0.25, z = 2, p = 0.045"
"CNAG_05662",14,911308,"b","downstream","adherence","est = 5.43, error = 2.43, z = 2.23, p = 0.025"
"CNAG_05662",14,911321,"b","downstream","IL5","est = 0.67, error = 0.33, z = 2.02, p = 0.043"
"CNAG_05662",14,911352,"b","downstream","MCP1","est = -0.4, error = 0.2, z = -1.98, p = 0.048"
"CNAG_05662",14,910822,"ab","downstream","Survival","est = -0.01, error = 0, z = -2.32, p = 0.02"
"CNAG_05662",14,910822,"ab","downstream","FLC","est = 0.05, error = 0.02, z = 1.98, p = 0.047"
"CNAG_05662",14,910939,"ab","downstream","growth","est = 15.73, error = 7.41, z = 2.12, p = 0.034"
"CNAG_05662",14,910939,"ab","downstream","SERT","est = -0.5, error = 0.25, z = -2.01, p = 0.044"
"CNAG_05662",14,910964,"ab","downstream","Survival","est = -0.01, error = 0, z = -2.68, p = 0.007"
"CNAG_05662",14,910964,"ab","downstream","AMP","est = -2.75, error = 1.39, z = -1.97, p = 0.048"
"CNAG_05662",14,910979,"ab","downstream","Survival","est = 0, error = 0, z = -2.01, p = 0.045"
"CNAG_05662",14,910979,"ab","downstream","uptake","est = -3.3, error = 1.6, z = -2.06, p = 0.04"
"CNAG_05662",14,911099,"ab","downstream","IL12","est = 0.68, error = 0.33, z = 2.04, p = 0.041"
"CNAG_05662",14,911099,"ab","downstream","GMCSF","est = 0.86, error = 0.43, z = 1.98, p = 0.048"
"CNAG_05662",14,911099,"ab","downstream","MCP1","est = 0.51, error = 0.22, z = 2.32, p = 0.021"
"CNAG_05662",14,911099,"ab","downstream","TNFa","est = 0.76, error = 0.37, z = 2.04, p = 0.042"
"CNAG_05662",14,911099,"ab","downstream","growth","est = 12.72, error = 6.23, z = 2.04, p = 0.041"
"CNAG_05662",14,911129,"ab","downstream","IL12","est = 0.84, error = 0.34, z = 2.44, p = 0.015"
"CNAG_05662",14,911129,"ab","downstream","IL13","est = 0.31, error = 0.14, z = 2.26, p = 0.024"
"CNAG_05662",14,911129,"ab","downstream","IL17","est = 0.98, error = 0.44, z = 2.23, p = 0.026"
"CNAG_05662",14,911129,"ab","downstream","MIP1b","est = 0.74, error = 0.36, z = 2.06, p = 0.039"
"CNAG_05662",14,911129,"ab","downstream","TNFa","est = 0.82, error = 0.35, z = 2.35, p = 0.019"
"CNAG_05662",14,911129,"ab","downstream","growth","est = 18.94, error = 8.15, z = 2.32, p = 0.02"
"CNAG_05662",14,911129,"ab","downstream","FLC","est = 0.07, error = 0.03, z = 2.11, p = 0.035"
"CNAG_05662",14,911129,"ab","downstream","AMP","est = -2.7, error = 1.36, z = -1.98, p = 0.048"
"CNAG_05662",14,911129,"ab","downstream","SERT","est = -0.55, error = 0.25, z = -2.25, p = 0.025"
"CNAG_05662",14,911206,"ab","downstream","IL8","est = 0.64, error = 0.32, z = 1.98, p = 0.048"
"CNAG_05662",14,911206,"ab","downstream","MCP1","est = 0.63, error = 0.24, z = 2.6, p = 0.009"
"CNAG_05662",14,911206,"ab","downstream","MIP1b","est = 0.77, error = 0.38, z = 1.99, p = 0.046"
"CNAG_13204",14,924025,"b","upstream","GMCSF","est = 1.16, error = 0.49, z = 2.37, p = 0.018"
"CNAG_13204",14,924047,"b","upstream","IL13","est = 0.34, error = 0.14, z = 2.4, p = 0.017"
"CNAG_13204",14,924049,"b","upstream","IL13","est = 0.34, error = 0.14, z = 2.4, p = 0.017"
"CNAG_13204",14,924050,"b","upstream","IL13","est = 0.34, error = 0.14, z = 2.4, p = 0.017"
"CNAG_05185",4,667446,"b","UTR-5","uptake","est = -3.43, error = 1.49, z = -2.3, p = 0.021"
"CNAG_05185",4,667433,"ab","UTR-5","Survival","est = -0.01, error = 0, z = -2.25, p = 0.024"
"CNAG_05185",4,667433,"ab","UTR-5","uptake","est = -3.76, error = 1.55, z = -2.42, p = 0.016"
"CNAG_01241",5,836479,"b","upstream","IL2","est = 0.68, error = 0.28, z = 2.46, p = 0.014"
"CNAG_01241",5,836697,"ab","upstream","IL4","est = 0.66, error = 0.32, z = 2.06, p = 0.039"
"CNAG_01241",5,836697,"ab","upstream","IL5","est = 1.03, error = 0.4, z = 2.55, p = 0.011"
"CNAG_01241",5,836697,"ab","upstream","IL7","est = 1.11, error = 0.53, z = 2.1, p = 0.036"
"CNAG_01241",5,836697,"ab","upstream","IL17","est = 0.75, error = 0.38, z = 1.99, p = 0.047"
"CNAG_01241",5,836697,"ab","upstream","GMCSF","est = 1.16, error = 0.47, z = 2.45, p = 0.014"
"CNAG_01241",5,836697,"ab","upstream","TNFa","est = 0.83, error = 0.35, z = 2.4, p = 0.017"
"CNAG_01241",5,836697,"ab","upstream","chitin","est = 0, error = 0, z = 2.14, p = 0.032"
"CNAG_01241",5,836899,"ab","upstream","IL5","est = -1.74, error = 0.82, z = -2.11, p = 0.035"
"CNAG_01241",5,836899,"ab","upstream","IL12","est = -1.21, error = 0.51, z = -2.38, p = 0.017"
"CNAG_01241",5,836899,"ab","upstream","IL13","est = -0.96, error = 0.44, z = -2.19, p = 0.028"
"CNAG_01241",5,836899,"ab","upstream","IL17","est = -0.79, error = 0.35, z = -2.25, p = 0.025"
"CNAG_01241",5,836899,"ab","upstream","GCSF","est = 2.53, error = 1.13, z = 2.24, p = 0.025"
"CNAG_01241",5,836899,"ab","upstream","TNFa","est = -1.08, error = 0.44, z = -2.43, p = 0.015"
"CNAG_02112",6,1160524,"b","upstream","AMP","est = 2.56, error = 1.29, z = 1.99, p = 0.046"
"CNAG_02112",6,1160528,"b","upstream","AMP","est = 2.56, error = 1.29, z = 1.99, p = 0.046"
"CNAG_02112",6,1160532,"b","upstream","AMP","est = 2.56, error = 1.29, z = 1.99, p = 0.046"
"CNAG_02475",6,221275,"b","upstream","growth","est = 29.86, error = 11.78, z = 2.54, p = 0.011"
"CNAG_02475",6,221282,"b","upstream","growth","est = 13.45, error = 6.54, z = 2.06, p = 0.04"
